datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,5,0,0.3,-1.807,-54.073,21.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MEDICILANDIA,Amazonia,3,0.5,0,-2.888,-52.885,32.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,2,0.1,0.1,-3.997,-54.088,37.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,AVEIRO,Amazonia,0,0,0,-4.034,-55.694,18.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,2.3,0,-1.602,-55.529,13.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PLACAS,Amazonia,3,0.5,0.3,-4.031,-54.339,14.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,3,0,0.1,-2.452,-53.824,42.6
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MEDICILANDIA,Amazonia,2,0.1,0,-3.39,-53.234,10.6
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,2,0,0.3,-2.86,-54.239,17.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,2,0,0.2,-1.939,-54.03,18.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,0,2.5,0,-1.649,-55.561,12.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PLACAS,Amazonia,2,0,0.1,-3.574,-54.661,5.9
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,JURUTI,Amazonia,2,0.1,0,-2.442,-55.978,21.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MOJUI DOS CAMPOS,Amazonia,2,2.3,0.4,-2.991,-54.717,12.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,2,0,0,-4.063,-54.876,16.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,3,0,0.1,-2.288,-53.71,5.6
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,1,0.7,0,-4.367,-55.961,12.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,5,0,1,-1.616,-54.217,14.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,OBIDOS,Amazonia,1,0.6,0,-1.483,-55.407,16.7
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,1,0.7,0,-4.356,-55.963,27.2
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,3,0.1,0.3,-2.254,-54.499,25.1
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,ALENQUER,Amazonia,2,0.1,0.2,-1.579,-54.593,14.8
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,2,0,0.4,-3.34,-54.11,17.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,PORTO DE MOZ,Amazonia,2,0.3,0,-2.114,-52.037,15.5
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,MONTE ALEGRE,Amazonia,5,0,0.9,-1.659,-54.194,8.4
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,1,0.5,0.1,-4.129,-53.973,13.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,BELTERRA,Amazonia,2,0.1,0.2,-3.308,-54.878,67.3
2021/01/17 17:05:00,AQUA_M-T,Brasil,PARA,BRASIL NOVO,Amazonia,3,0.4,0,-2.799,-52.77,45.4
